country_code,country_name,year,cropland_share_agri_land,pasture_share_agri_land,barley_share_cropland,cereals_n_e_c_share_cropland,oats_share_cropland,potatoes_share_cropland,pulses_total_share_cropland,vegetables_primary_share_cropland,wheat_share_cropland,barley_yield_kg_per_ha,cereals_n_e_c_yield_kg_per_ha,oats_yield_kg_per_ha,potatoes_yield_kg_per_ha,pulses_total_yield_kg_per_ha,vegetables_primary_yield_kg_per_ha,wheat_yield_kg_per_ha,cattle_stocks_per_pasture_ha,sheep_stocks_per_pasture_ha,goats_stocks_per_pasture_ha,chickens_stocks_per_agri_land_ha,swine_stocks_per_agri_land_ha,meat_of_cattle_prod_t_per_pasture_ha,meat_of_sheep_prod_t_per_pasture_ha,meat_of_goat_prod_t_per_pasture_ha,meat_of_chickens_prod_t_per_agri_land_ha,meat_of_pig_prod_t_per_agri_land_ha,milk_prod_t_per_pasture_ha,dairy_prod_t_per_pasture_ha,hen_eggs_prod_t_per_agri_land_ha,barley_export_value_share,cattle_export_value_share,chickens_export_value_share,goats_export_value_share,meat_of_chickens_export_value_share,meat_of_goat_export_value_share,meat_of_sheep_export_value_share,potatoes_export_value_share,sheep_export_value_share,swine_per_pigs_export_value_share,wheat_export_value_share,oats_total_export_value_share,vegetables_total_export_value_share,meat_of_cattle_export_value_share,meat_of_pig_export_value_share,milk_export_value_share,wool_export_value_share,hen_eggs_total_export_value_share,dairy_products_total_export_value_share
32,Argentina,2015,0.34245982725875423,0.6575401727412458,0.02149464264640619,0.0006136642089903168,0.005913152921778941,0.0017976344708957785,0.015706703629901782,0.004300510025883199,0.09559353792363318,3264.2,634.9,2145.8,31342.5,1489.6,19547.0,2862.3,647.7286357860108,187.14647173877177,59.45410785601565,952.3530750544176,41.50144355277531,34.34495839436375,0.7255514147931431,0.10712642143669483,17.3328259659904,4.00350185691376,3.4306814961656316,12.196792077611796,6.3352182818837335,0.010651232992539004,2.232354685031341e-05,3.234013148355937e-05,,0.009399068298279906,5.619059672308711e-06,0.00018072606054740732,0.00016405211173718692,1.0077661368814535e-06,3.572989030761517e-06,0.03154140047416136,4.290640673692249e-05,9.033249190591937e-05,0.02638194323700616,1.5879951247828965e-05,0.017102066188188325,0.0004933473315551479,0.00012878029694633603,0.023253073688931522
32,Argentina,2016,0.34522385016703466,0.6547761498329652,0.0303870141599171,0.0006336745891871578,0.005840080707361376,0.0018399519838331827,0.012163179273260152,0.004268420530018518,0.13565405461628174,3960.8,643.7,2309.4,32196.9,1213.0,19663.2,3304.7,676.327077610199,190.9908464114181,60.546452791690335,934.7046187646309,43.070768173529835,33.97261118834755,0.66287708442014,0.09440120060544231,17.289090833135162,4.395282309378656,2.457796482986712,10.828668181129013,6.747372675510658,0.01719340641228551,2.497153912549867e-05,2.1215773769080387e-05,8.6009893658434e-08,0.0068120409176770785,9.575768160638985e-06,0.0001920314225747303,0.0005505493293076361,7.454190783730947e-07,6.594091847146607e-07,0.053548182943690605,6.235717290236465e-05,6.665766758528635e-05,0.029465699418974613,1.7918727845507084e-05,0.010105445755752175,0.0005530722861882834,3.337183873947239e-05,0.01597688247638062
32,Argentina,2017,0.3517426774976532,0.6482573233524701,0.02103209116843661,0.0006218174648982917,0.007759522091707717,0.0018089213370768287,0.014517098255833673,0.004264070728275646,0.14071551830920717,4299.1,643.3,2445.0,32858.6,1256.0,19914.1,3180.6,718.5566884577304,193.38617393071885,63.78500940928076,1005.6959438799968,43.521538728192084,37.302860814771584,0.6637772197050665,0.09484817289471441,17.9886104585805,4.814044601154599,2.55489498980388,9.118189615039114,6.911502978651204,0.013759418758381062,2.2606281545059588e-05,4.3554769110148144e-05,,0.008597741564051969,1.43775950626579e-05,0.00024068154418306777,0.00019188211775446578,3.0141708726746116e-07,3.888280425750249e-06,0.07119034546480896,4.26806595570725e-05,7.550498036049903e-05,0.039070255544074124,0.0001094746860955419,0.008549303838128089,0.000479765577803618,1.4558445315018376e-05,0.01501647872083001
32,Argentina,2018,0.3558095402397999,0.6441904597602002,0.02933392324662416,0.0006348275109699629,0.0052946495672622365,0.001799583020194429,0.013995393827729158,0.004213483963247594,0.14669332589880968,4182.7,642.2,2251.4,33460.0,1322.0,20698.8,3216.0,733.6964020299674,192.01547917140905,61.15985324245792,979.9361683774691,44.78092814629518,41.055877666340834,0.6578112237383003,0.10097280432774065,17.8426119209868,5.35279047701199,3.1178542065585626,10.402277687765295,7.150866902441129,0.017284309931664816,2.6903703302193464e-05,,,0.0076828738176464816,,0.00017464880122129657,0.00011109041124302852,8.688995085636645e-07,,0.07785381432632699,2.1111039911769034e-05,3.4820343269106854e-05,0.06217066091870204,0.0006559547660390065,0.013188542918538661,0.00031489561819612806,,0.02032822581747973
32,Argentina,2019,0.35950565613770274,0.6404943438622973,0.02675339949425068,0.0006242664249248533,0.0056817119137363425,0.0018171429934634286,0.01559604465861921,0.004089985209217997,0.16054768834390953,3374.9,643.9,2400.1,34133.6,1439.5,21270.6,2938.7,736.5709216534326,197.8307199957151,62.11265248188964,1015.9349565605194,43.98797588315509,41.99070714103989,0.7149341867409381,0.10536602348656285,18.897337884544466,5.400706695597733,3.1190091187852333,10.170321099074732,7.118414394634603,0.016345173976615605,2.9237636262393265e-05,,,0.009986196731097845,1.023734552289317e-05,0.00014093041418200217,0.00021470606724372144,1.0571172007335339e-06,,0.06385919824699612,,2.3117484047620175e-05,0.08551825002183587,0.0007054588182474128,0.009451045057663346,0.0002819442849851149,,0.01617762090029934
32,Argentina,2020,0.3653837982987619,0.6346162017012381,0.025090353039676265,0.0006119354388576213,0.007496348667379878,0.0018591562398251082,0.016617191497278944,0.003958858551560538,0.14870696311456347,3348.8,645.0,1861.8,36077.1,1480.9,21769.7,2759.5,729.2457117606888,195.12012426186044,62.87850992889758,1006.6621912150852,45.69173769321629,42.42674843668403,0.7163640015532733,0.11368996130207147,18.85840506802403,5.569233932987194,3.5598776127796894,10.617744004499135,7.418485881083286,0.013730059026539296,6.634967276877292e-06,,,0.0074080160208244115,,0.0001776730151337548,0.00015617692205572702,,,0.06093043564985883,1.6001979903056997e-05,2.281708203813005e-05,0.08127363561295736,0.0015610186586481212,0.014816572446223409,8.910670985417105e-05,,0.0229780925788807
32,Argentina,2021,0.36699215107901473,0.6330078489209853,0.02324648359008707,0.000612744531953715,0.005587569577568885,0.0019914081807053605,0.016597778137053376,0.0039014481372843385,0.15124551354597315,4010.1,644.5,2094.5,34790.9,1496.0,22524.4,3382.5,716.6151229897832,178.73235494971948,57.32251844511991,979.3012256522403,45.35590533828341,39.92568123083515,0.6135797592426454,0.10181197359435466,19.452598789604842,5.89888792825781,3.873905009306249,11.64718214806979,7.501398565834308,0.014378101153996575,,,,0.006130855297863524,,1.0745114442925556e-05,0.00015797435495030208,,,0.06494863252387055,1.5085505498688588e-06,2.379275340933516e-05,0.07234053021822796,0.001036374227759906,0.012818418680226899,4.816775439932146e-06,,0.0204839198058921
32,Argentina,2022,0.3716259423801831,0.6283740576198169,0.030240292526094142,0.0006064482532207304,0.007898091335159734,0.0014559739171779835,0.017476056784477098,0.0038413747820771164,0.12427214888944234,3952.9,644.5,2073.1,35131.1,1514.1,22900.7,2287.6,715.2613783961115,166.86767718696856,52.958463330699914,976.7854738826063,46.08497408454497,42.19079324058328,0.5428477122695198,0.09237075025776302,19.516264472267096,6.114122997442111,3.5382820262181816,11.209370790428624,8.102786752827141,0.02312581751837438,2.3496949849988002e-06,,,0.0059506622875175556,6.4517048740645025e-06,0.00011869942208116822,0.00016551410775686464,2.1903936300836276e-07,,0.07966676689443289,3.4648044694050108e-06,3.0187606756425266e-05,0.06840537577476138,2.6483850254647497e-06,0.014226387588030152,0.00013190152186976317,,0.022074587877289154
32,Argentina,2023,0.3569540937267552,0.6430459062732448,0.038353705001659966,0.0006511585233991224,0.006208150283045178,0.0014641056004189722,0.017120278037211563,0.004158571298858699,0.13449055255798859,2953.5,643.5,1666.5,35366.9,1327.6,22947.8,2843.4,726.3238976446486,168.84428435612807,55.26499377351669,976.5935190704313,50.69387276066212,44.01448641555415,0.5288829822846507,0.09462580843855867,19.692509157368157,6.562661778869116,2.920494637190182,10.784048954888124,8.412525949424355,0.027912048282785852,5.796590629479256e-06,,,0.0035472083815239635,3.935579953699074e-06,0.00010284372111565564,0.0001904332563642606,,,0.030491042978956374,1.1593181258958511e-06,5.061338870687413e-05,0.08416692305724306,2.2576195083234996e-05,0.013783834891325657,0.00015989437625842516,,0.025241772538386897
36,Australia,2015,0.09019042338970294,0.909809576610297,0.1308293149026977,,0.026164856514953656,0.000936841099468102,0.06351813867566965,0.0022153390451317007,0.3593401280377106,2189.2,,1582.1,39250.1,1202.1,27060.0,1974.3,86.55184041525375,223.88660086763787,11.366434917688068,254.67727989566785,6.526974971202376,8.403710509532019,2.2766116657510373,0.10193481981043312,3.2044875459253874,1.0661957548999048,1.097036612549807,2.90213638458964,0.6586196099609616,0.037950364255769524,0.031965148709224726,9.542328937154065e-06,0.0002250423411044936,0.0010410129793687955,0.005311480717118805,0.0552173969938054,0.0004182382470327101,0.005363455955585006,5.8008078645313464e-08,0.12679121590707254,0.0019449238648593925,0.00036887337210554834,0.2029457877707635,0.0024209961663014803,0.02554522062131195,0.006200280498122298,3.448580275463886e-05,0.04488116949231158
36,Australia,2016,0.08866848413027362,0.9113315158697264,0.15913167423793534,,0.033836065573770495,0.0009206662716439529,0.08605971426690368,0.0023240502995588914,0.4013151952070577,2793.9,,2204.1,40409.6,1711.7,26582.2,2610.0,79.97895421236035,216.3289561340576,11.690324894947217,262.84726884256366,6.696531252006702,7.417732141026955,2.2820955467869224,0.10675028184892897,3.477276840181902,1.102279029310979,1.0733223583068565,2.9026751947319873,0.6907782207926398,0.03446119357789774,0.03263511980464832,4.670756322607153e-05,0.00018134599890513877,0.0011083067970721317,0.004556622903269342,0.05552136876425677,0.0007157865511220472,0.004943811235609144,1.1882550331485907e-06,0.1103354211030124,0.0021743239021952826,0.0005396201254383254,0.16832775097466277,0.003572290714655713,0.02420012387741529,0.0058424976576027556,5.791981584655054e-05,0.042546415972296255
